Betas:
CE N	   482.0242 7   	     6.8E-8 % 3 	  3.28E-10 16 
CE O	   482.374  	     1.04E-8 % 5 	  5.03E-11 24 
CE K	   484.01 5   	     1.42E-4 % 4 	  6.88E-7 21 
CE L	   485.4044 5   	     2.06E-5 % 9 	  1.00E-7 5 
CE L	   488.0244 5   	     1.5E-5 % 3 	  7.5E-8 15 
CE M	   491.8992 5   	     4.58E-6 % 21 	  2.25E-8 10 
CE N	   493.4042 7   	     1.04E-6 % 5 	  5.14E-9 24 
CE O	   493.754  	     1.54E-7 % 7 	  7.6E-10 3 
CE M	   494.5192 5   	     3.3E-6 % 6 	  1.6E-8 3 
CE L	   495.091 9   	     3.03E-4 % 6 	  1.50E-6 3 
CE N	   496.0242 7   	     7.5E-7 % 14 	  3.7E-9 7 
CE O	   496.374  	     1.18E-7 % 24 	  5.8E-10 12 
CE M	   501.586 9   	     6.73E-5 % 14 	  3.38E-7 7 
CE N	   503.091 9   	     1.53E-5 % 3 	  7.72E-8 15 
CE O	   503.441 9   	     2.27E-6 % 4 	  1.143E-8 22 
CE K	   507.5609 5   	     2.5E-5 % 3 	  1.28E-7 15 
CE L	   511.86 4   	     1.2E-4 % 3 	  6.3E-7 14 
CE M	   518.36 4   	     2.6E-5 % 5 	  1.4E-7 3 
CE L	   518.50 5   	     2.6E-5 % 6 	  1.4E-7 3 
CE N	   519.86 4   	     6.0E-6 % 12 	  3.1E-8 6 
CE O	   520.21 4   	     9.1E-7 % 22 	  4.7E-9 11 
CE M	   525.00 5   	     5.7E-6 % 11 	  3.0E-8 6 
CE L	   525.87 5   	     1.91E-5 % 6 	  1.01E-7 3 
CE N	   526.50 5   	     1.3E-6 % 3 	  6.9E-9 14 
CE O	   526.85 5   	     2.0E-7 % 5 	  1.1E-9 3 
CE M	   532.37 5   	     4.12E-6 % 12 	  2.19E-8 7 
CE N	   533.87 5   	     9.4E-7 % 3 	  5.03E-9 16 
CE O	   534.22 5   	     1.45E-7 % 4 	  7.74E-10 23 
CE K	   536.026 3   	     0.0050 % 18 	  2.7E-5 10 
CE L	   549.4244 5   	     4.3E-6 % 5 	  2.4E-8 3 
CE M	   555.9192 5   	     9.5E-7 % 11 	  5.3E-9 6 
CE N	   557.4242 7   	     2.2E-7 % 3 	  1.21E-9 14 
CE O	   557.774  	     3.2E-8 % 4 	  1.81E-10 22 
CE K	   565.17 5   	     0.0100 %	  5.7E-5
CE L	   577.889 3   	     7.3E-4 % 18 	  4.2E-6 11 
CE M	   584.384 3   	     1.6E-4 % 4 	  9.6E-7 21 
CE N	   585.889 3   	     3.7E-5 % 8 	  2.2E-7 5 
CE O	   586.239 3   	     5.9E-6 % 14 	  3.5E-8 8 
CE K	   624.7609 5   	     1.34E-4 % 10 	  8.4E-7 6 
CE K	   628.384 5   	     0.00267 % 11 	  1.68E-5 7 
CE K	   652.7709 5   	     1.92E-5 % 15 	  1.25E-7 10 
CE K	   662.59 5   	     1.79E-4 % 5 	  1.19E-6 4 
CE L	   666.6244 5   	     2.04E-5 % 11 	  1.36E-7 8 
CE L	   670.247 5   	     4.21E-4 % 15 	  2.82E-6 10 
CE M	   673.1192 5   	     4.49E-6 % 24 	  3.02E-8 16 
CE N	   674.6242 7   	     1.03E-6 % 5 	  6.9E-9 4 
CE O	   674.974  	     1.55E-7 % 9 	  1.05E-9 6 
CE M	   676.742 5   	     9.3E-5 % 3 	  6.27E-7 20 
CE N	   678.247 5   	     2.11E-5 % 6 	  1.43E-7 4 
CE O	   678.597 5   	     3.19E-6 % 10 	  2.17E-8 7 
CE L	   694.6344 5   	     3.04E-6 % 23 	  2.11E-8 16 
CE M	   701.1292 5   	     6.7E-7 % 5 	  4.7E-9 4 
CE N	   702.6342 7   	     1.52E-7 % 12 	  1.07E-9 8 
CE O	   702.984  	     2.30E-8 % 18 	  1.62E-10 13 
CE L	   704.45 5   	     2.39E-5 % 7 	  1.68E-7 5 
CE M	   710.95 5   	     5.13E-6 % 15 	  3.64E-8 11 
CE N	   712.45 5   	     1.18E-6 % 3 	  8.38E-9 25 
CE O	   712.80 5   	     1.81E-7 % 5 	  1.29E-9 4 
CE K	   714.64 4   	     0.0011 % 3 	  7.8E-6 23 
CE K	   728.6654 25   	     0.0204 % 3 	  1.485E-4 23 
CE K	   744.54 5   	     1.7E-4 % 5 	  1.3E-6 4 
CE L	   756.50 4   	     1.6E-4 % 4 	  1.2E-6 3 
CE M	   763.00 4   	     3.4E-5 % 8 	  2.6E-7 6 
CE N	   764.50 4   	     7.8E-6 % 19 	  5.9E-8 15 
CE O	   764.85 4   	     1.2E-6 % 3 	  9.3E-9 23 
CE L	   770.5289 25   	     0.00269 % 4 	  2.07E-5 3 
CE M	   777.0237 25   	     5.78E-4 % 10 	  4.49E-6 8 
CE N	   778.529 3   	     1.326E-4 % 21 	  1.033E-6 17 
CE O	   778.8790 24   	     2.05E-5 % 3 	  1.60E-7 3 
CE L	   786.40 5   	     2.3E-5 % 6 	  1.8E-7 4 
CE M	   792.90 5   	     5.0E-6 % 14 	  4.0E-8 11 
CE N	   794.40 5   	     1.2E-6 % 3 	  9.2E-9 22 
CE O	   794.75 5   	     1.8E-7 % 5 	  1.4E-9 4 
CE K	   880.35 5   	     1.97E-4 % 6 	  1.73E-6 5 
CE K	   886.81 15   	     1.0E-5 % 4 	  8E-8 3 
CE K	   919.98 9   	     1.2E-6 % 3 	  1.1E-8 3 
CE L	   922.21 5   	     2.89E-5 % 9 	  2.66E-7 8 
CE K	   923.85 5   	     4.5E-5 % 12 	  4.1E-7 12 
CE L	   928.67 15   	     1.3E-6 % 5 	  1.2E-8 5 
CE M	   928.71 5   	     6.29E-6 % 19 	  5.84E-8 17 
CE N	   930.21 5   	     1.44E-6 % 4 	  1.34E-8 4 
CE O	   930.56 5   	     2.20E-7 % 7 	  2.05E-9 6 
CE M	   935.17 15   	     2.9E-7 % 11 	  2.7E-9 10 
CE N	   936.67 15   	     7E-8 % 3 	  6.2E-10 24 
CE O	   937.02 15   	     1.0E-8 % 4 	  1.0E-10 4 
CE K	   939.94 5   	     7.4E-5 % 3 	  7.0E-7 3 
CE L	   961.84 9   	     1.6E-7 % 4 	  1.6E-9 4 
CE L	   965.71 5   	     6.2E-6 % 15 	  6.0E-8 15 
CE M	   968.34 9   	     3.5E-8 % 9 	  3.4E-10 9 
CE N	   969.84 9   	     8.0E-9 % 21 	  7.7E-11 21 
CE O	   970.19 9   	     1.2E-9 % 3 	  1.2E-11 3 
CE M	   972.21 5   	     1.4E-6 % 3 	  1.3E-8 3 
CE N	   973.71 5   	     3.1E-7 % 8 	  3.0E-9 8 
CE O	   974.06 5   	     4.7E-8 % 13 	  4.6E-10 12 
CE L	   981.80 5   	     1.08E-5 % 5 	  1.06E-7 5 
CE M	   988.30 5   	     2.35E-6 % 11 	  2.32E-8 10 
CE N	   989.80 5   	     5.38E-7 % 24 	  5.32E-9 24 
CE O	   990.15 5   	     8.2E-8 % 4 	  8.1E-10 4 
CE K	  1039.498 5   	     0.00338 % 6 	  3.51E-5 6 
CE K	  1058.94 5   	     3.54E-4 % 13 	  3.75E-6 14 
CE L	  1081.361 5   	     4.82E-4 % 8 	  5.21E-6 8 
CE M	  1087.856 5   	     1.047E-4 % 17 	  1.139E-6 19 
