============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  15 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 2897  2 .1035006E+07   1500021E-01  .9773E+03  .5401E+04   .9989310 -.0297668  .0353666
T 2898  2 .1192484E+07   1500018E-01  .1825E+04  .2888E+04   .9985846  .0319145  .0425479
T 2899  2 .1138938E+07   1500021E-01  .4212E+04  .1430E+04   .9995089  .0240309 -.0201138
T 2900  2 .1120945E+07   1500018E-01 -.5908E+04  .1890E+04   .9952928 -.0746742  .0617741
T 2901  2 .1186929E+07   1500021E-01  .2368E+04  .6748E+03   .9988200  .0445723  .0192864
T 2902  2 .1031260E+07   1500014E-01 -.4567E+04  .7612E+03   .9962811 -.0839197  .0195292
T 2903  2 .1090048E+07   1500015E-01 -.7808E+01  .1122E+05   .9939002 -.0101888  .1098111
T 2904  2 .9768632E+06   1500004E-01  .6213E+03  .4056E+04   .9971804  .0116870  .0741255
T 2905  2 .1110682E+07   1500013E-01  .6905E+04 -.5666E+04   .9892830  .1435802 -.0265317
T 2906  2 .1044046E+07   1500002E-01 -.4294E+04  .3352E+04   .9943802 -.0830955  .0655991
T 2907  2 .1239359E+07   1500013E-01  .2291E+04  .1473E+04   .9938075  .1093767  .0195780
T 2908  2 .1079368E+07   1500017E-01 -.4584E+04  .4047E+02   .9941609 -.1079019 -.0011747
T 2909  2 .1198392E+07   1500019E-01  .4124E+04  .6387E+04   .9940119  .0239862  .1066071
T 2910  2 .1156732E+07   1500003E-01  .5197E+04  .2082E+04   .9951360  .0544757 -.0820782
T 2911  2 .1198378E+07   1500010E-01  .2124E+04 -.9423E+02   .9999242  .0027511 -.0120007
T 2912  2 .1143290E+07   1500011E-01 -.2689E+04 -.2601E+04   .9997549  .0093104 -.0200882
T 2913  2 .1010713E+07   1500009E-01  .8106E+03 -.1035E+04   .9984257  .0555396 -.0078458
T 2914  2 .1122855E+07   1500008E-01  .4552E+03  .5228E+04   .9983276  .0050715  .0575876
T 2915  2 .1049881E+07   1500021E-01 -.5720E+03 -.4956E+04   .9996225  .0145177 -.0233243
T 2916  2 .1156416E+07   1500018E-01 -.3619E+04  .2478E+04   .9971509 -.0588860  .0471440
T 2917  2 .1076207E+07   1500001E-01  .1626E+04 -.4208E+04   .9981983 -.0028637 -.0599331
T 2918  2 .1086963E+07   1500018E-01  .2630E+04  .1847E+04   .9924558  .1052651 -.0628543
T 2919  2 .9587213E+06   1500020E-01  .6383E+04 -.1502E+05   .9878991  .0978349 -.1203485
T 2920  2 .1118527E+07   1500001E-01 -.7954E+03  .1086E+04   .9999643  .0025877 -.0080424
T 2921  2 .1091842E+07   1500009E-01  .2659E+04  .3711E+04   .9935810  .0820202  .0779068
T 2922  2 .9128957E+06   1500009E-01  .1219E+03 -.1496E+04   .9992845 -.0029889 -.0377041
T 2923  2 .1093640E+07   1500015E-01 -.1641E+04 -.2096E+04   .9958689 -.0107415 -.0901654
T 2924  2 .1079454E+07   1500015E-01  .3391E+04 -.1795E+04   .9952574  .0810945 -.0537242
T 2925  2 .1185060E+07   1500024E-01 -.3380E+04  .6599E+03   .9999396  .0024217 -.0107244
T 2926  2 .1270718E+07   1500014E-01 -.9455E+03 -.2769E+04   .9985620 -.0361038 -.0396294
T 2927  2 .1146118E+07   1500026E-01 -.1893E+04  .2760E+03   .9989602  .0453051  .0051030
T 2928  2 .1180317E+07   1500017E-01  .2631E+04 -.3722E+04   .9978891  .0542273 -.0357314
T 2929  2 .1149961E+07   1500012E-01  .9921E+02  .2949E+04   .9991423  .0399383 -.0109328
T 2930  2 .1132676E+07   1500015E-01  .2795E+03  .1320E+04   .9995305 -.0295642  .0080437
T 2931  2 .1171175E+07   1500020E-01  .1394E+04  .2004E+04   .9950712  .0974763  .0182114
T 2932  2 .1032938E+07   1500015E-01 -.3832E+03 -.9676E+04   .9923842  .0305343 -.1193369
T 2933  2 .1088723E+07   1500024E-01 -.2030E+04 -.7443E+03   .9905587 -.0948781 -.0989530
T 2934  2 .1074578E+07   1500003E-01  .9493E+04  .2600E+04   .9965082  .0834890 -.0010167
T 2935  2 .1259732E+07   1500016E-01 -.3964E+03 -.2534E+04   .9972498 -.0350389 -.0653078
T 2936  2 .1049698E+07   1500015E-01 -.6981E+04 -.6605E+04   .9955525 -.0656171 -.0675990
T 2937  2 .1156866E+07   1500002E-01 -.3559E+04 -.5544E+03   .9995904  .0143266 -.0247747
T 2938  2 .1100354E+07   1500017E-01 -.2971E+04  .1198E+04   .9982999 -.0572747  .0108163
T 2939  2 .1071782E+07   1500022E-01 -.1010E+05 -.7145E+03   .9917842 -.1264246 -.0195149
T 2940  2 .1134871E+07   1500017E-01 -.3507E+04  .8842E+04   .9878742 -.1012070  .1177360
T 2941  2 .1063041E+07   1500016E-01  .1086E+04  .5190E+03   .9991535  .0294517 -.0287197
T 2942  2 .1161857E+07   1500001E-01  .5077E+04 -.1444E+04   .9997771  .0144435  .0154022
T 2943  2 .1243966E+07   1500025E-01 -.6116E+04  .4836E+03   .9967109 -.0795388  .0155227
T 2944  2 .1000117E+07   1500001E-01 -.1751E+04  .2025E+04   .9999177 -.0097075 -.0083935
T 2945  2 .1104794E+07   1500016E-01  .1805E+04  .3850E+03   .9970740  .0124336 -.0754243
T 2946  2 .1333387E+07   1500005E-01  .4263E+03 -.4149E+03   .9980143 -.0332094 -.0535227
T 2947  2 .1180084E+07   1500002E-01  .5650E+04  .2692E+04   .9999244  .0106402 -.0061624
T 2948  2 .1156321E+07   1500023E-01 -.5997E+04  .8866E+04   .9991719 -.0278723 -.0296426
T 2949  2 .1336744E+07   1500016E-01  .3236E+04 -.2447E+04   .9921584  .0709870 -.1028719
T 2950  2 .1197032E+07   1500023E-01  .3029E+04  .2361E+04   .9935558 -.0980168  .0569175
T 2951  2 .1230847E+07   1500015E-01 -.1850E+04 -.2003E+04   .9981893 -.0404835 -.0444883
T 2952  2 .1181466E+07   1500019E-01  .4572E+03  .1357E+04   .9991545  .0170981 -.0373885
T 2953  2 .9694885E+06   1500022E-01  .5108E+04 -.1740E+04   .9881277  .1175842 -.0988819
T 2954  2 .1264926E+07   1500005E-01 -.3110E+04 -.3559E+04   .9982015 -.0513694 -.0309011
T 2955  2 .1134954E+07   1500021E-01 -.1785E+03  .4386E+03   .9986883 -.0221245 -.0461763
T 2956  2 .1163772E+07   1500007E-01  .4230E+04  .1975E+04   .9964077  .0780836  .0327807
T 2957  2 .1016092E+07   1500007E-01  .6911E+04 -.1103E+04   .9701036  .2405368 -.0322656
T 2958  2 .1274407E+07   1500001E-01 -.2991E+04  .1720E+04   .9997465 -.0005097  .0225108
T 2959  2 .1144444E+07   1500000E-01  .1406E+04 -.1074E+03   .9989148  .0405277  .0229523
T 2960  2 .1098272E+07   1500001E-01 -.6971E+04 -.8358E+04   .9893789 -.0908972 -.1134329
T 2961  2 .1158739E+07   1500025E-01 -.6631E+03  .1740E+03   .9927625 -.1084844  .0515143
T 2962  2 .1063321E+07   1500015E-01  .2191E+04  .5104E+03   .9983421 -.0120957  .0562742
T 2963  2 .9726540E+06   1500018E-01 -.3311E+04  .1177E+04   .9916789 -.1249644 -.0309343
T 2964  2 .1116278E+07   1500007E-01  .1401E+04  .1109E+04   .9988141  .0390973 -.0290130
T 2965  2 .1036822E+07   1500007E-01  .1465E+04 -.1276E+04   .9986063  .0302735 -.0432311
T 2966  2 .1045134E+07   1500002E-01 -.5433E+02 -.3285E+02   .9981687 -.0326179  .0509449
T 2967  2 .1057435E+07   1500009E-01 -.2727E+04  .1752E+04   .9936692 -.1097562  .0239813
T 2968  2 .1068553E+07   1500003E-01 -.6332E+04 -.7776E+04   .9966753 -.0514909 -.0631433
T 2969  2 .1264932E+07   1500025E-01  .2882E+04 -.7755E+04   .9877514  .0430520 -.1499791
T 2970  2 .1275913E+07   1500016E-01  .2442E+04  .4322E+04   .9985043  .0534708  .0114019
T 2971  2 .1080792E+07   1500000E-01  .1169E+04  .9027E+03   .9997531  .0188506  .0117646
T 2972  2 .9489145E+06   1500008E-01  .1212E+04 -.2322E+04   .9860296 -.1207038 -.1147878
T 2973  2 .1152224E+07   1500015E-01  .2520E+04 -.6164E+03   .9897721  .1357497 -.0438543
T 2974  2 .1208713E+07   1500020E-01  .3070E+04  .7682E+03   .9985424  .0382538  .0380746
T 2975  2 .1201609E+07   1500009E-01  .1383E+04 -.5556E+04   .9961103  .0443175 -.0761598
T 2976  2 .1019764E+07   1500010E-01 -.8578E+03 -.5037E+04   .9977260 -.0176526 -.0650485
T 2977  2 .1204592E+07   1500021E-01  .2547E+04  .2233E+04   .9867729 -.0237103  .1603655
T 2978  2 .1139165E+07   1500025E-01 -.2032E+04  .7288E+03   .9975584 -.0513597 -.0473229
T 2979  2 .1124480E+07   1500012E-01 -.4552E+04  .9801E+04   .9953499 -.0645357  .0715098
T 2980  2 .1057859E+07   1500019E-01 -.1370E+04 -.1357E+05   .9942295  .0991268 -.0410076
T 2981  2 .1163432E+07   1500015E-01 -.4314E+04 -.3300E+04   .9951684 -.0699507 -.0688967
T 2982  2 .9592436E+06   1500012E-01  .7994E+04  .3647E+04   .9838218  .1723670  .0488301
T 2983  2 .1154714E+07   1500007E-01 -.6187E+04  .2124E+04   .9952986 -.0744496  .0619516
T 2984  2 .1169607E+07   1500021E-01  .3249E+04  .6337E+04   .9943644  .0164716  .1047284
T 2985  2 .1130743E+07   1500013E-01  .5530E+04  .9455E+04   .9912080  .0665759  .1143433
T 2986  2 .1188263E+07   1500020E-01  .7168E+04 -.2014E+03   .9945984  .1034650 -.0083080
T 2987  2 .1160243E+07   1500008E-01 -.9463E+03  .1508E+04   .9985370 -.0340772  .0419824
T 2988  2 .1106075E+07   1500021E-01 -.5182E+04  .4502E+04   .9977326 -.0250169  .0624806
T 2989  2 .1090319E+07   1500021E-01 -.1305E+04 -.1254E+04   .9992932  .0343343 -.0153050
T 2990  2 .1162409E+07   1500025E-01  .1115E+05  .7618E+04   .9885487  .1424292  .0498529
T 2991  2 .1188881E+07   1500020E-01  .2829E+04  .6781E+04   .9919194  .0479842  .1174458
T 2992  2 .1202828E+07   1500013E-01  .4858E+03 -.8025E+03   .9984878  .0452903 -.0311580
T 2993  2 .1149539E+07   1500021E-01  .2674E+04 -.5101E+03   .9999881  .0019243  .0044824
T 2994  2 .1269138E+07   1500025E-01  .3317E+04  .4686E+04   .9887198  .1489972 -.0152645
T 2995  2 .1037790E+07   1500020E-01 -.1399E+04 -.4786E+04   .9990235 -.0356395  .0261131
T 2996  2 .1148443E+07   1500011E-01  .6423E+02 -.1508E+04   .9986117  .0367388 -.0377479
T 2997  2 .1225577E+07   1500026E-01  .4157E+03 -.1933E+04   .9934472  .1042071 -.0469418
T 2998  2 .1067622E+07   1500002E-01 -.3072E+04  .5604E+04   .9956543 -.0594115  .0717139
T 2999  2 .1071299E+07   1500015E-01 -.3052E+03 -.6246E+03   .9920779 -.1005781 -.0752696
T 3000  2 .1142586E+07   1500007E-01 -.5195E+04 -.7893E+03   .9968966 -.0518957 -.0591952
T 3001  2 .1168614E+07   1500018E-01  .2215E+04 -.1362E+04   .9924916  .1168828  .0360381
T 3002  2 .1038763E+07   1500011E-01  .6094E+04 -.7933E+03   .9793303  .1864412 -.0784333
T 3003  2 .1183332E+07   1500022E-01  .6033E+04 -.1586E+04   .9861827  .0515052 -.1574510
T 3004  2 .1197246E+07   1500025E-01  .6353E+04 -.1130E+04   .9998080  .0162169  .0109980
T 3005  2 .1301479E+07   1500002E-01 -.3665E+04 -.5516E+04   .9980550 -.0111637 -.0613317
T 3006  2 .1217254E+07   1500022E-01 -.1094E+03 -.1599E+03   .9976530 -.0549403  .0408653
T 3007  2 .9749468E+06   1500007E-01  .6441E+04  .1119E+05   .9486972  .1868078  .2551011
T 3008  2 .1221806E+07   1500024E-01 -.9084E+04  .6827E+03   .9801192 -.1755001 -.0925531
T 3009  2 .9943840E+06   1500020E-01 -.9876E+04 -.6053E+04   .9855002 -.1379914 -.0987310
T 3010  2 .1144049E+07   1500011E-01  .2280E+04 -.6403E+04   .9979778 -.0525369 -.0357810
T 3011  2 .1111855E+07   1500013E-01 -.2746E+04 -.5750E+04   .9957189 -.0202596 -.0901850
T 3012  2 .1194906E+07   1500023E-01 -.1572E+04 -.3082E+04   .9952707 -.0703391  .0669967
T 3013  2 .1119613E+07   1500000E-01 -.8333E+03  .1083E+04   .9997509 -.0147009  .0167952
T 3014  2 .1153731E+07   1500000E-01  .1200E+04 -.9175E+03   .9971013 -.0246279 -.0719889
T 3015  2 .1233209E+07   1500015E-01 -.2723E+04  .7765E+04   .9919182 -.0667154  .1079227
T 3016  2 .1111624E+07   1500002E-01  .1129E+03  .1171E+04   .9999915  .0041124  .0001488
T 3017  2 .1228568E+07   1500000E-01  .2083E+04  .2528E+04   .9997968 -.0024857  .0200038
T 3018  2 .1231720E+07   1500023E-01 -.3412E+04 -.1289E+04   .9913616 -.1263323  .0352479
T 3019  2 .1110900E+07   1500002E-01  .2212E+04  .2159E+04   .9999823  .0036982  .0046674
T 3020  2 .1057447E+07   1500018E-01 -.3383E+04 -.3757E+04   .9995815 -.0044161 -.0285892
T 3021  2 .1150988E+07   1500000E-01 -.2130E+04  .1223E+04   .9995523 -.0298015  .0026458
T 3022  2 .1010884E+07   1500003E-01  .1143E+04 -.3398E+04   .9974216 -.0037889 -.0716644
T 3023  2 .1087454E+07   1500023E-01  .2288E+04  .5882E+03   .9971319  .0670925  .0350228
T 3024  2 .1298201E+07   1500016E-01 -.2148E+03 -.2721E+04   .9964662 -.0832058 -.0114819
T 3025  2 .1160244E+07   1500020E-01  .1046E+04 -.1795E+04   .9967763 -.0094563  .0796714
T 3026  2 .1101455E+07   1500001E-01 -.3432E+03 -.1024E+04   .9959229  .0864725 -.0256914
T 3027  2 .1079761E+07   1500025E-01  .1755E+04 -.1989E+04   .9942390  .0707440  .0805244
T 3028  2 .1059832E+07   1500022E-01  .3692E+04  .2435E+04   .9910890  .0980012  .0902132
T 3029  2 .1088130E+07   1500025E-01 -.1341E+04  .3677E+04   .9954255  .0924805  .0239872
T 3030  2 .1065950E+07   1500012E-01 -.3046E+04 -.8508E+03   .9937014 -.0862256  .0715725
T 3031  2 .1084864E+07   1500010E-01 -.8319E+04  .2549E+04   .9802926 -.1934102  .0402352
T 3032  2 .1019863E+07   1500023E-01 -.4593E+04 -.5301E+04   .9912541  .0243171 -.1297073
T 3033  2 .9491442E+06   1500011E-01  .2368E+04  .9998E+03   .9991988  .0334937 -.0219090
T 3034  2 .1081100E+07   1500023E-01  .1768E+04  .8235E+04   .9844977  .1697974  .0439670
T 3035  2 .1077059E+07   1500011E-01 -.3958E+03  .1510E+04   .9966201 -.0102787  .0815030
T 3036  2 .1177902E+07   1500000E-01  .3571E+04 -.9112E+03   .9973071  .0713041  .0171551
T 3037  2 .1009358E+07   1500015E-01 -.3265E+04 -.4537E+02   .9992527 -.0297039  .0247329
T 3038  2 .1074046E+07   1500017E-01  .7000E+03  .1725E+04   .9993462 -.0313338  .0180366
T 3039  2 .1071804E+07   1500004E-01 -.4702E+03  .6027E+04   .9861444  .0175550  .1649577
T 3040  2 .1173950E+07   1500013E-01 -.3218E+04 -.3274E+03   .9934397 -.0936304 -.0656575
T 3041  2 .1034402E+07   1500000E-01 -.4480E+04  .1022E+04   .9967151 -.0804286 -.0095026
T 3042  2 .1126961E+07   1500019E-01 -.3775E+04 -.8167E+04   .9944214 -.0119281 -.1048032
T 3043  2 .1160691E+07   1500015E-01 -.1065E+04  .2733E+04   .9969773  .0756992 -.0174906
T 3044  2 .1060863E+07   1500025E-01 -.9379E+03  .6613E+03   .9940708  .0867237 -.0655919
T 3045  2 .1122341E+07   1500011E-01  .6122E+04 -.3922E+03   .9808748  .1927564  .0270097
T 3046  2 .1252702E+07   1500024E-01 -.4476E+04  .1051E+04   .9966385 -.0816399  .0068270
T 3047  2 .1174207E+07   1500017E-01 -.2018E+04  .1291E+04   .9964399 -.0814571  .0217339
T 3048  2 .1214135E+07   1500022E-01 -.2475E+03 -.3832E+04   .9979787  .0399193 -.0494472
T 3049  2 .1127786E+07   1500024E-01 -.6094E+03  .3056E+04   .9992193  .0373608  .0128411
T 3050  2 .1157579E+07   1500013E-01 -.4212E+04 -.2320E+04   .9959480 -.0804328 -.0402273
T 3051  2 .1173601E+07   1500019E-01  .1482E+03  .1460E+04   .9963322 -.0126797  .0846254
T 3052  2 .1096290E+07   1500017E-01  .1212E+04 -.2803E+04   .9999797 -.0031192 -.0055610
T 3053  2 .1189592E+07   1500016E-01 -.5283E+04  .1398E+04   .9895330 -.1262993  .0698067
T 3054  2 .1106225E+07   1500009E-01 -.1633E+04 -.2228E+04   .9995742 -.0196825 -.0215399
T 3055  2 .1168245E+07   1500024E-01 -.4038E+03  .8644E+03   .9995218 -.0131713 -.0279783
T 3056  2 .1173043E+07   1500009E-01  .8627E+03 -.3959E+04   .9985751 -.0147680 -.0512804
T 3057  2 .1129434E+07   1500018E-01 -.2110E+04  .6956E+03   .9999416  .0036040 -.0101912
T 3058  2 .7753712E+06   1500005E-01  .2496E+05  .4993E+04   .9611635  .2742577  .0307800
T 3059  2 .1085115E+07   1500004E-01  .5037E+03  .2765E+02   .9987009 -.0065066 -.0505398
T 3060  2 .1115474E+07   1500026E-01 -.4961E+04 -.7182E+04   .9957981 -.0366624 -.0839162
T 3061  2 .1172063E+07   1500009E-01 -.2629E+03 -.2158E+04   .9995543  .0296793 -.0032192
T 3062  2 .1038152E+07   1500019E-01 -.2056E+03 -.1172E+03   .9996898  .0157043 -.0193312
T 3063  2 .1095107E+07   1500010E-01  .1049E+04  .5084E+04   .9954765  .0367961  .0875931
T 3064  2 .1070487E+07   1500000E-01  .3035E+03  .1044E+04   .9997658 -.0178538 -.0122338
T 3065  2 .1237023E+07   1500002E-01  .2084E+04 -.6842E+03   .9970819  .0449470 -.0617044
T 3066  2 .1165319E+07   1500001E-01 -.6454E+04  .2714E+04   .9924577 -.1209942  .0197004
T 3067  2 .1108909E+07   1500001E-01  .3059E+04  .1008E+04   .9974120  .0060934 -.0716391
T 3068  2 .1014554E+07   1500022E-01  .1394E+04 -.2755E+03   .9974010 -.0626862  .0355207
T 3069  2 .1135618E+07   1500000E-01  .4825E+03 -.2327E+04   .9997582 -.0200042  .0091294
T 3070  2 .1138778E+07   1500003E-01  .3533E+04 -.6452E+04   .9990868 -.0142495 -.0402794
T 3071  2 .1123726E+07   1500006E-01  .1898E+04  .2272E+04   .9984937  .0543047  .0078331
T 3072  2 .1229419E+07   1500020E-01  .8242E+04  .2844E+04   .9912295  .1247331 -.0436540
T 3073  2 .1119872E+07   1500011E-01  .1133E+04  .5041E+04   .9981179 -.0149143  .0594822
T 3074  2 .1174470E+07   1500006E-01  .1478E+04  .1029E+04   .9992223 -.0209826  .0333843
T 3075  2 .1145634E+07   1500011E-01  .5321E+04 -.6962E+03   .9968425  .0770748 -.0190901
T 3076  2 .1026289E+07   1500015E-01 -.3981E+04  .5067E+04   .9915629 -.0815076  .1007949
T 3077  2 .1078713E+07   1500018E-01  .2693E+04 -.4281E+04   .9981431  .0482827 -.0371372
T 3078  2 .1114347E+07   1500018E-01 -.4329E+04  .4409E+04   .9956646 -.0760998  .0534868
T 3079  2 .1271257E+07   1500019E-01  .6330E+04 -.6125E+04   .9800448  .1102924 -.1653718
T 3080  2 .1221158E+07   1500004E-01 -.4301E+03  .4576E+04   .9964562  .0635070  .0551527
T 3081  2 .1147757E+07   1500019E-01  .3488E+04 -.1339E+04   .9942867  .0654994 -.0842840
T 3082  2 .1190217E+07   1500005E-01 -.4967E+04  .1005E+04   .9951350 -.0970942 -.0167034
T 3083  2 .1114315E+07   1500016E-01  .1017E+04 -.1714E+04   .9989080  .0166788 -.0436416
T 3084  2 .1242542E+07   1500017E-01 -.1620E+03  .4629E+04   .9962987  .0859487  .0013198
T 3085  2 .1076718E+07   1500019E-01 -.1534E+04  .2274E+04   .9997657 -.0215790  .0017276
T 3086  2 .9902996E+06   1500012E-01 -.3772E+04  .4667E+04   .9936047 -.0794323  .0802506
T 3087  2 .1186662E+07   1500000E-01  .2325E+04  .4168E+04   .9995941 -.0030029  .0283299
T 3088  2 .1174939E+07   1500017E-01 -.2863E+04 -.4335E+04   .9972441 -.0737069 -.0084519
T 3089  2 .1103975E+07   1500022E-01  .4870E+04  .4151E+02   .9969377  .0772686  .0120316
T 3090  2 .1046859E+07   1500007E-01  .1472E+04  .4592E+03   .9987008  .0318796  .0397537
T 3091  2 .1068229E+07   1500020E-01 -.3002E+04 -.1289E+04   .9996393  .0265244 -.0042083
T 3092  2 .1138365E+07   1500000E-01 -.5687E+03  .4303E+03   .9998436  .0050543  .0169504
T 3093  2 .1020090E+07   1500026E-01 -.5923E+03  .5089E+04   .9930066  .0516995  .1061373
T 3094  2 .1294745E+07   1500014E-01  .1445E+04 -.3052E+04   .9999225  .0064908  .0106226
T 3095  2 .1199375E+07   1500014E-01  .7911E+03  .2713E+04   .9993519  .0049845  .0356493
T 3096  2 .1177098E+07   1500017E-01 -.4180E+04  .1359E+04   .9968569 -.0781561  .0129559
T 3097  2 .1059898E+07   1500006E-01  .9161E+03 -.5168E+03   .9989477  .0229722 -.0396971
T 3098  2 .1196055E+07   1500000E-01 -.1238E+04 -.2272E+03   .9994352 -.0225673  .0248995
T 3099  2 .1020889E+07   1500026E-01  .8726E+03 -.2057E+04   .9993569  .0356781 -.0035962
T 3100  2 .1109607E+07   1500001E-01 -.2938E+04 -.1569E+03   .9999468 -.0093810  .0042874
T 3101  2 .1117147E+07   1500014E-01  .8310E+04  .1130E+05   .9867444  .1299225  .0972403
T 3102  2 .9920354E+06   1500017E-01  .1902E+04  .3813E+04   .9986330  .0290565  .0434485
T 3103  2 .1218068E+07   1500000E-01  .9194E+03 -.9125E+03   .9990969 -.0313576  .0286717
T 3104  2 .1102494E+07   1500010E-01 -.3389E+04 -.3334E+03   .9935884 -.0962118 -.0593750
T 3105  2 .1165283E+07   1500019E-01  .1384E+04  .3107E+04   .9944013 -.0872623  .0595932
T 3106  2 .1210725E+07   1500020E-01  .4185E+04 -.2458E+03   .9994799  .0276793 -.0165467
T 3107  2 .1090987E+07   1500010E-01  .3221E+04  .2272E+04   .9975401  .0184543  .0676260
T 3108  2 .1368371E+07   1500022E-01 -.1186E+04  .2801E+04   .9954410 -.0716760  .0629260
T 3109  2 .1060547E+07   1500014E-01 -.4704E+04  .6373E+03   .9996856 -.0111773  .0224435
T 3110  2 .1272368E+07   1500009E-01  .8475E+04 -.2335E+04   .9878503  .1499195 -.0409371
T 3111  2 .1200972E+07   1500015E-01  .1259E+04  .3778E+04   .9977003  .0490539  .0467739
T 3112  2 .9719000E+06   1500003E-01 -.5559E+03 -.8755E+03   .9997620 -.0122678 -.0180392
T 3113  2 .1184485E+07   1500020E-01 -.9893E+04  .1525E+05   .9707931 -.1339315  .1990555
T 3114  2 .1128396E+07   1500007E-01  .2370E+04 -.9534E+03   .9995896  .0215563 -.0188683
T 3115  2 .1117186E+07   1500007E-01  .1727E+04  .8388E+04   .9935857 -.0114283  .1125029
T 3116  2 .1178797E+07   1500015E-01  .2305E+04  .3600E+04   .9998836  .0123149  .0090046
T 3117  2 .1146214E+07   1500012E-01 -.1054E+05  .7860E+03   .9986748 -.0498102  .0129453
T 3118  2 .1162124E+07   1500021E-01 -.4473E+03  .2941E+04   .9995294  .0150884  .0267080
T 3119  2 .1119689E+07   1500004E-01  .1408E+03 -.5875E+03   .9995260 -.0134689  .0276818
T 3120  2 .1144504E+07   1500019E-01  .6424E+04 -.6204E+04   .9892026 -.0102717 -.1461944
T 3121  2 .9539827E+06   1500017E-01  .5453E+04 -.7074E+04   .9928387  .0179839 -.1181010
T 3122  2 .1177577E+07   1500014E-01  .2941E+04  .3240E+04   .9998056  .0124634  .0152798
T 3123  2 .1106071E+07   1500011E-01  .7293E+04  .2086E+04   .9947688  .0968345  .0325279
T 3124  2 .1140398E+07   1500016E-01  .2354E+04 -.5136E+04   .9831831  .1778042  .0416736
T 3125  2 .1090453E+07   1500023E-01  .1125E+05  .4474E+04   .9662038  .2097437  .1498590
T 3126  2 .1073074E+07   1500020E-01  .1343E+04 -.2020E+04   .9969221 -.0605356  .0498176
T 3127  2 .1072891E+07   1500025E-01  .2944E+04  .1522E+04   .9968625  .0790355 -.0043053
T 3128  2 .1003280E+07   1500001E-01 -.8924E+04 -.7461E+04   .9926053 -.0886213 -.0829522
T 3129  2 .1138384E+07   1500018E-01 -.8655E+03  .1430E+04   .9962378  .0173864  .0848997
T 3130  2 .1158386E+07   1500008E-01 -.6885E+03  .4243E+04   .9997137  .0077447  .0226398
T 3131  2 .1154118E+07   1500014E-01  .1069E+04  .5684E+03   .9922867  .0930337 -.0819255
T 3132  2 .1103491E+07   1500011E-01  .6543E+03 -.1240E+04   .9987408  .0025658 -.0501030
T 3133  2 .1153872E+07   1500015E-01 -.1714E+04  .2912E+04   .9989521  .0451980 -.0071975
T 3134  2 .1258002E+07   1500025E-01  .4660E+03  .1249E+04   .9982983  .0316238  .0489934
T 3135  2 .1171008E+07   1500016E-01  .2404E+04 -.3643E+04   .9984672  .0199220 -.0516378
T 3136  2 .9969863E+06   1500018E-01 -.5979E+04 -.1215E+04   .9797378 -.1361894 -.1468548
T 3137  2 .9883414E+06   1500015E-01  .2504E+03  .3081E+03   .9993304 -.0092350 -.0354040
T 3138  2 .1093571E+07   1500019E-01 -.3026E+04  .6394E+04   .9930499 -.0575852  .1026438
T 3139  2 .1200161E+07   1500016E-01 -.1753E+04  .7381E+04   .9979720 -.0079356  .0631581
T 3140  2 .1287090E+07   1500024E-01 -.4090E+04  .6433E+04   .9924058 -.0822587  .0914560
T 3141  2 .1147963E+07   1500025E-01  .1979E+04  .2758E+04   .9993049  .0118875  .0353322
T 3142  2 .1066250E+07   1500026E-01  .1016E+04  .2345E+04   .9996265  .0023029 -.0272325
T 3143  2 .1089454E+07   1500023E-01  .3364E+04  .1152E+04   .9960150  .0022397  .0891583
T 3144  2 .1154181E+07   1500013E-01  .7144E+03  .4378E+04   .9974573  .0331711  .0630760
T 3145  2 .1074913E+07   1500020E-01  .9454E+03  .5644E+04   .9943293 -.1063275 -.0019023
T 3146  2 .1252152E+07   1500016E-01 -.1938E+04 -.1236E+04   .9978426 -.0230068 -.0614885
T 3147  2 .1146726E+07   1500017E-01 -.1152E+04 -.3601E+04   .9844561 -.1756167 -.0022292
T 3148  2 .1188992E+07   1500003E-01  .2230E+04  .2975E+04   .9989503  .0353431  .0291388
T 3149  2 .1004246E+07   1500024E-01  .6600E+04  .1395E+05   .9596335  .1723541  .2222559
T 3150  2 .1220167E+07   1500001E-01  .6604E+04  .3775E+04   .9634195  .2517786  .0918168
T 3151  2 .1230036E+07   1500016E-01 -.3777E+04 -.1863E+02   .9969671 -.0641408  .0440748
T 3152  2 .1207863E+07   1500025E-01 -.1000E+04  .6259E+04   .9947566 -.0267980  .0986970
T 3153  2 .1140958E+07   1500009E-01  .7424E+04  .2107E+04   .9953245  .0804804  .0534049
