============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  15 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   55  2 .1176608E+07   1500023E-01 -.1456E+04 -.1274E+04   .9995532 -.0283349 -.0095198
T   56  2 .1066100E+07   1500024E-01 -.6530E+04 -.1033E+05   .9804883 -.0907908 -.1743553
T   57  2 .1118922E+07   1500009E-01  .2342E+04 -.3152E+04   .9960963  .0624494 -.0623881
T   58  2 .1209648E+07   1500009E-01  .2648E+04  .7242E+04   .9952754  .0960167 -.0144084
T   59  2 .1112034E+07   1500017E-01  .3296E+04  .8498E+04   .9928226  .0665836  .0993473
T   60  2 .1095644E+07   1500025E-01  .2194E+04 -.2247E+03   .9994647  .0239387 -.0223003
T   61  2 .1037603E+07   1500023E-01  .9007E+03  .2539E+04   .9905870  .1362933  .0127115
T   62  2 .1045541E+07   1500024E-01 -.2182E+04 -.1352E+04   .9979274 -.0618888 -.0176283
T   63  2 .1151717E+07   1500012E-01 -.4531E+04  .1988E+04   .9957740 -.0451848  .0799527
T   64  2 .1070383E+07   1500022E-01  .1618E+04 -.7269E+03   .9989975  .0325806  .0307000
T   65  2 .1123450E+07   1500001E-01 -.1563E+04  .4454E+04   .9994066  .0186815  .0289403
T   66  2 .1232142E+07   1500001E-01 -.2664E+04 -.5543E+04   .9973442 -.0369371 -.0627703
T   67  2 .1056112E+07   1500000E-01  .5676E+03  .2494E+04   .9988193 -.0184480  .0449419
T   68  2 .1173260E+07   1500020E-01  .2746E+04  .5398E+03   .9977362  .0437389 -.0510825
T   69  2 .1125927E+07   1500003E-01 -.5847E+04  .4541E+04   .9929965 -.0941851  .0713246
T   70  2 .1165261E+07   1500020E-01  .6342E+04 -.1560E+04   .9968303  .0778874 -.0162164
T   71  2 .1172176E+07   1500022E-01  .6036E+04 -.8214E+03   .9994289  .0325670  .0090133
T   72  2 .1222355E+07   1500012E-01 -.6726E+04 -.1848E+04   .9937732 -.0488895 -.1001230
T   73  2 .1098176E+07   1500005E-01  .5865E+04 -.1568E+03   .9977563  .0662420  .0097130
T   74  2 .1040509E+07   1500014E-01 -.2020E+04  .4733E+04   .9980981 -.0606296  .0111473
T   75  2 .1223289E+07   1500023E-01  .1315E+03  .4521E+04   .9939851 -.0640927  .0888016
T   76  2 .1110445E+07   1500024E-01  .4839E+04  .8830E+04   .9901428  .0725605  .1198010
T   77  2 .1037401E+07   1500019E-01  .4938E+03  .4668E+04   .9940852 -.1085986 -.0009876
T   78  2 .1191487E+07   1500015E-01 -.4896E+04 -.1986E+04   .9942844 -.0957910 -.0471447
T   79  2 .1152198E+07   1500015E-01 -.6387E+03 -.7698E+04   .9830918 -.0549990 -.1746587
T   80  2 .1195050E+07   1500014E-01 -.2230E+04  .3557E+04   .9962566 -.0457554  .0733426
T   81  2 .1140743E+07   1500025E-01  .4748E+04 -.2483E+03   .9972913  .0733634  .0052757
T   82  2 .1204241E+07   1500018E-01 -.1508E+04 -.2758E+03   .9991390  .0368542 -.0190510
T   83  2 .1092493E+07   1500007E-01  .2569E+04 -.1030E+04   .9958430  .0830767 -.0373499
T   84  2 .9630841E+06   1500016E-01  .5751E+03  .6540E+03   .9960506 -.0118244  .0879965
T   85  2 .1158834E+07   1500023E-01  .6966E+04 -.4069E+03   .9894251  .1089575  .0957399
T   86  2 .1145216E+07   1500006E-01  .2953E+04  .3949E+04   .9990056 -.0085957  .0437491
T   87  2 .1309655E+07   1500024E-01 -.1443E+04 -.2163E+04   .9959851 -.0666746 -.0597346
T   88  2 .1092099E+07   1500011E-01  .3254E+04  .6757E+04   .9809102  .1286740  .1458017
T   89  2 .1218345E+07   1500012E-01 -.6381E+04  .4129E+03   .9938676 -.1102496 -.0084971
T   90  2 .1100197E+07   1500000E-01  .7582E+04  .2695E+03   .9976215  .0683469 -.0089476
T   91  2 .1114188E+07   1500012E-01  .1049E+04 -.4567E+04   .9993745  .0113561 -.0334924
T   92  2 .1120942E+07   1500017E-01 -.6120E+03 -.1569E+04   .9991550 -.0221294 -.0346335
T   93  2 .9415484E+06   1500020E-01  .5739E+03 -.3785E+04   .7801537 -.2047056 -.5911479
T   94  2 .1086792E+07   1500015E-01  .5110E+04  .1851E+04   .9979852  .0625060 -.0108888
T   95  2 .1283464E+07   1500022E-01  .3509E+04  .5795E+04   .9969457  .0326088  .0709643
T   96  2 .1221240E+07   1500022E-01 -.2020E+04 -.6645E+03   .9980118 -.0623551 -.0091819
T   97  2 .1197870E+07   1500021E-01  .2662E+04 -.1043E+04   .9979231  .0493068 -.0414526
T   98  2 .1073699E+07   1500025E-01  .2641E+04  .1079E+04   .9985702  .0416444  .0335150
T   99  2 .1268988E+07   1500004E-01 -.2774E+04  .1407E+04   .9980257 -.0537679  .0324606
T  100  2 .1137535E+07   1500012E-01 -.2154E+04  .1689E+04   .9961779 -.0671131  .0559050
T  101  2 .8704139E+06   1500019E-01  .2026E+05  .5133E+04   .9802355  .1898465  .0556480
T  102  2 .1244591E+07   1500025E-01 -.9176E+04  .3892E+04   .9962667 -.0687051  .0522714
T  103  2 .1137807E+07   1500004E-01 -.1714E+04 -.7278E+03   .9982458  .0490674 -.0331317
T  104  2 .1166689E+07   1500021E-01  .4552E+03 -.3413E+04   .9981868  .0580877  .0157768
T  105  2 .1279157E+07   1500021E-01  .3693E+03  .3827E+04   .9971109  .0484502  .0585023
T  106  2 .1224040E+07   1500015E-01 -.1383E+04  .4205E+04   .9999711 -.0055718  .0051806
T  107  2 .1016120E+07   1500001E-01 -.2640E+03  .2364E+04   .9977568 -.0007721  .0669383
T  108  2 .1098499E+07   1500003E-01  .2209E+04  .2755E+04   .9994721  .0044928  .0321769
T  109  2 .1090531E+07   1500011E-01  .5911E+04 -.3922E+04   .9858086  .1395069 -.0933766
T  110  2 .1233859E+07   1500003E-01 -.6876E+04 -.3144E+04   .9832602 -.1821564  .0042892
T  111  2 .1031722E+07   1500018E-01 -.5024E+04  .4647E+04   .9966629 -.0573042  .0581319
T  112  2 .1087478E+07   1500015E-01 -.2132E+03 -.6011E+04   .9984487 -.0123467 -.0542929
T  113  2 .1120181E+07   1500006E-01  .2880E+04 -.4954E+03   .9981028  .0310679 -.0531569
T  114  2 .1113530E+07   1500013E-01  .2891E+04 -.3123E+04   .9945305 -.0898464 -.0532604
T  115  2 .1147236E+07   1500019E-01  .1258E+04 -.4064E+04   .9986896  .0221458 -.0461378
T  116  2 .1159630E+07   1500000E-01 -.6843E+04  .1095E+04   .9993475 -.0189998  .0307172
T  117  2 .1170465E+07   1500023E-01  .7458E+04 -.2535E+04   .9927620  .1124801 -.0420932
T  118  2 .1143485E+07   1500025E-01  .3429E+04 -.4481E+03   .9990484 -.0268346 -.0343820
T  119  2 .1218269E+07   1500018E-01  .5439E+04  .3635E+04   .9942001  .0815952  .0700600
T  120  2 .1100233E+07   1500003E-01 -.3861E+04 -.3276E+03   .9954765 -.0888896 -.0335445
T  121  2 .1160112E+07   1500007E-01  .2394E+04 -.1054E+04   .9908903  .1300502 -.0349773
T  122  2 .1108499E+07   1500012E-01 -.2202E+04  .7972E+03   .9929829 -.0250508  .1155740
T  123  2 .1045264E+07   1500021E-01  .2646E+03 -.6987E+04   .9947909 -.0214217 -.0996604
T  124  2 .1055523E+07   1500003E-01  .1422E+04 -.2851E+04   .9982415  .0559531 -.0195722
T  125  2 .1082321E+07   1500006E-01 -.1472E+04  .2167E+04   .9984040 -.0010814 -.0564649
T  126  2 .1119900E+07   1500015E-01 -.4470E+03 -.1915E+04   .9996186  .0170157 -.0217532
T  127  2 .1313238E+07   1500020E-01  .4277E+04  .3227E+04   .9898980  .1353046  .0423628
T  128  2 .1050197E+07   1500017E-01 -.1870E+04  .2466E+04   .9934045 -.0673564  .0927933
T  129  2 .1107257E+07   1500017E-01  .1954E+04 -.2611E+04   .9993946  .0254318 -.0237434
T  130  2 .1157434E+07   1500010E-01  .6473E+04  .1024E+05   .9711760  .0843669  .2229335
T  131  2 .1140705E+07   1500025E-01  .2818E+04  .3104E+04   .9996296 -.0219624  .0160738
T  132  2 .1007508E+07   1500001E-01 -.1225E+04  .2915E+04   .9971354 -.0694975  .0298526
T  133  2 .1130243E+07   1500012E-01 -.1211E+05 -.2185E+04   .9836563 -.1800191  .0036708
T  134  2 .1166497E+07   1500011E-01  .5001E+04  .4761E+04   .9931818  .0361468  .1108304
T  135  2 .1029824E+07   1500006E-01 -.2829E+04  .1862E+04   .9978925 -.0598738  .0250125
T  136  2 .9091737E+06   1500002E-01 -.3559E+04 -.5295E+04   .9974741 -.0290061 -.0648394
T  137  2 .1165018E+07   1500008E-01 -.2449E+04  .3807E+04   .9967221 -.0197811  .0784464
T  138  2 .1287453E+07   1500025E-01 -.4137E+04  .5688E+04   .9953187 -.0406059  .0877037
